epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.587,1.26398,3.4298,1.34606,0.00388,1,0.64086,0.55659,0.59509,3.28091,0.87724,0.0002222,0.0002222,0.0002222
2,256.361,0.91016,2.00728,1.09735,0.99722,0.58161,0.98615,0.84656,0.58767,2.6435,0.87531,0.000447994,0.000447994,0.000447994
3,382.015,0.9097,1.64095,1.0696,0.97651,0.88193,0.99444,0.79658,0.7916,2.09864,0.97207,0.000666089,0.000666089,0.000666089
4,506.847,0.88409,1.38976,1.03991,0.94657,0.96895,0.99217,0.76866,0.88888,1.47278,1.02262,0.000876485,0.000876485,0.000876485
5,630.769,0.8758,1.34881,1.03555,0.82255,0.90439,0.98957,0.76642,0.85517,1.5153,1.02909,0.00103767,0.00103767,0.00103767
6,755.187,0.85904,1.33707,1.03671,0.97912,0.99561,0.995,0.78143,0.80787,1.1264,0.96715,0.00101934,0.00101934,0.00101934
7,878.979,0.83281,1.16138,1.00645,0.96722,0.99647,0.995,0.85573,0.63049,1.18824,0.89726,0.00100101,0.00100101,0.00100101
8,1004.85,0.82425,1.14112,1.00283,0.96857,1,0.995,0.85452,0.5758,0.9936,0.87699,0.000982679,0.000982679,0.000982679
9,1129.7,0.84468,1.1058,1.00824,0.98827,0.98889,0.99447,0.84271,0.67641,1.03606,0.90102,0.000964348,0.000964348,0.000964348
10,1253.04,0.78057,1.026,0.99497,0.98139,0.99387,0.995,0.84705,0.67009,0.90116,0.89667,0.000946016,0.000946016,0.000946016
11,1376.91,0.78953,0.99369,0.9848,0.97844,0.99468,0.995,0.82727,0.69742,0.871,0.91604,0.000927685,0.000927685,0.000927685
12,1502.17,0.79642,0.95372,0.9974,0.99212,1,0.995,0.86929,0.58337,0.74561,0.8692,0.000909353,0.000909353,0.000909353
13,1627.24,0.77757,0.92911,0.97304,0.98199,0.99766,0.995,0.80362,0.79807,0.8388,0.95117,0.000891022,0.000891022,0.000891022
14,1752.31,0.74988,0.86752,0.97705,0.98902,1,0.995,0.85689,0.61549,0.6796,0.8912,0.000872691,0.000872691,0.000872691
15,1876.27,0.75918,0.80879,0.97225,0.98142,1,0.995,0.86736,0.57875,0.65747,0.87075,0.000854359,0.000854359,0.000854359
16,1999.66,0.73832,0.80008,0.96815,0.9838,0.9982,0.995,0.84033,0.6772,0.72174,0.91535,0.000836027,0.000836027,0.000836027
17,2125.75,0.74456,0.77191,0.96805,0.9934,1,0.995,0.84924,0.62769,0.59986,0.89853,0.000817696,0.000817696,0.000817696
18,2250.47,0.73318,0.75653,0.94409,0.98948,1,0.995,0.82007,0.76028,0.60944,0.9451,0.000799365,0.000799365,0.000799365
19,2373.75,0.7185,0.74534,0.96753,0.97148,1,0.995,0.85013,0.67649,0.57734,0.91822,0.000781033,0.000781033,0.000781033
